country,life_exp,inf_mort,internet
Gaza Strip,74.16,16.55,
Georgia,77.32,14.68,26.9
Germany,80.19,3.51,82
Ghana,61.45,47.26,9.55
Gibraltar,78.83,6.55,65
Greece,80.05,4.92,44.4
Greenland,71.25,9.83,63
Grenada,73.3,11.12,33.46
Guatemala,71.17,25.16,10.5
Guernsey,82.24,3.52,0
Guinea,58.61,59.04,1
Guinea-Bissau,49.11,94.4,2.45
Guyana,67.39,35.59,29.9
Haiti,62.51,52.44,8.37
Honduras,70.71,19.85,11.09
Hong Kong,82.12,2.9,72
Hungary,75.02,5.24,65.27
Iceland,81,3.18,95
India,67.14,46.07,7.5
Indonesia,71.62,26.99,9.9
Iran,70.35,41.11,13
Iraq,70.85,40.25,2.5
Ireland,80.32,3.81,69.85
Isle of Man,80.76,4.27,
Israel,81.07,4.07,67.2
Italy,81.86,3.36,53.68
Jamaica,73.43,14.3,26.1
Japan,83.91,2.21,78.2
Jersey,81.47,3.94,
Jordan,80.18,15.83,38
Kazakhstan,69.63,23.06,34
Kenya,63.07,43.61,25.9
Kiribati,64.76,37.68,9
"Korea, North",69.2,26.21,
"Korea, South",79.3,4.08,83.7
Kuwait,77.28,7.87,38.25
Kyrgyzstan,69.45,30.78,20
Laos,62.77,57.77,7
Latvia,72.93,8.24,71.1
Lebanon,75.23,15.32,31
Lesotho,51.86,53.44,3.86
Liberia,57.41,72.71,7
Libya,77.83,19.34,14
Liechtenstein,81.5,4.39,80
Lithuania,75.55,6.18,62.12
Luxembourg,79.75,4.39,90
Macau,84.43,3.17,56.8
Macedonia,75.36,8.32,51.9
Madagascar,64,50.09,1.7
Malawi,52.31,79.02,2.26
Malaysia,74.04,14.57,56.3
Maldives,74.69,26.46,28.3
Mali,53.06,109.08,2.7
Malta,79.85,3.65,63
Marshall Islands,72.03,22.93,0
Mauritania,61.53,58.93,3
Mauritius,74.71,11.2,28.33
Mexico,76.66,16.77,31.05
"Micronesia, Federated States of",71.8,23.51,20
Moldova,69.51,13.65,40
Monaco,89.68,1.8,75
Mongolia,68.63,36,12.9
Montserrat,73.41,14.69,35
Morocco,76.11,26.49,49
Mozambique,52.02,76.85,4.17
Namibia,52.17,45.61,6.5
Nauru,65.7,8.51,6
Nepal,66.51,43.13,7.93
Netherlands,80.91,3.73,90.72
New Caledonia,76.94,5.62,0
New Zealand,80.71,4.72,83
Nicaragua,72.18,21.86,10
Niger,53.8,109.98,0.83
Nigeria,52.05,74.36,28.43
Northern Mariana Islands,77.27,5.69,
Norway,80.32,3.5,93.39
Oman,74.47,14.95,62
Pakistan,66.35,61.27,16.78
Palau,72.06,12.1,0
Panama,77.96,11.32,42.75
Papua New Guinea,66.46,42.05,1.28
Paraguay,76.4,22.24,19.8
Peru,72.73,21.5,34.3
Philippines,71.94,18.75,25
Poland,76.25,6.42,62.32
Portugal,78.7,4.6,51.1
Puerto Rico,79.07,7.9,45.3
Qatar,78.09,6.81,81.6
Romania,74.22,10.73,39.93
Russia,66.46,9.88,43
Rwanda,58.44,62.51,13
"Saint Helena, Ascension, and Tristan da Cunha",78.91,15.8,24.94
Saint Kitts and Nevis,74.84,9.43,76
Saint Lucia,77.04,12.39,40
Saint Pierre and Miquelon,80,7.29,
Saint Vincent and the Grenadines,74.39,13.86,0
Samoa,72.66,21.85,7
San Marino,83.07,4.65,0
Sao Tome and Principe,63.49,51.83,18.75
Saudi Arabia,74.35,15.61,41
Senegal,60.18,55.16,16
Serbia,74.56,6.4,40.9
Seychelles,73.77,11.35,41
Sierra Leone,56.55,76.64,0
Singapore,83.75,2.65,71
Slovakia,76.03,6.47,70
Slovenia,77.48,4.12,
Solomon Islands,74.42,17.25,5
Somalia,50.8,103.72,0
South Africa,49.41,42.67,12.3
Spain,81.27,3.37,65.8
Sri Lanka,75.94,9.47,12
Sudan,62.57,55.63,0
Suriname,71.12,28.94,31.59
Swaziland,49.42,59.57,8.02
Sweden,81.18,2.74,90
Switzerland,81.17,4.03,83.9
Syria,74.92,15.12,20.7
Taiwan,78.48,5.1,71.5
Tajikistan,66.38,37.33,11.55
Tanzania,53.14,65.74,11
Thailand,73.83,15.9,21.2
Timor-Leste,68.27,36.78,0.21
Togo,63.17,49.87,5.38
Tonga,75.38,13.21,12
Trinidad and Tobago,71.67,26.73,48.5
Tunisia,75.24,24.98,36.8
Turkey,72.77,23.07,39.82
Turkmenistan,68.84,40.89,2.2
Turks and Caicos Islands,79.26,11.63,
Tuvalu,65.11,33.55,25
Uganda,53.45,61.22,12.5
Ukraine,68.74,8.38,45
United Arab Emirates,76.71,11.59,78
United Kingdom,80.17,4.56,85
United States,78.49,5.98,74
Uruguay,76.41,9.44,47.7
Uzbekistan,72.77,21.2,20
Vanuatu,65.06,45.57,8
Venezuela,74.08,20.18,35.67
Vietnam,72.41,20.24,27.56
Virgin Islands,79.47,7.09,0
Wallis and Futuna,79.12,4.61,0
West Bank,75.24,14.47,
Western Sahara,61.52,58.96,
Yemen,64.11,53.5,12.35
Zambia,52.57,64.61,10
Zimbabwe,51.82,28.23,11.5
