state,total_housing_units_2000,total_housing_units_2010,pct_vacant,occupied,pct_owner_occupied,pop_st,area_st,pop_urban,poppct_urban,area_urban,areapct_urban,popden_urban,pop_ua,poppct_urban,area_ua,areapct_ua,popden_ua,pop_uc,poppct_uc,area_uc,areapct_uc,popden_uc,pop_rural,poppct_rural,area_rural,areapct_rural,popden_rural
Georgia,"3,281,737","4,088,801",12.3,"3,585,584",65.7,9687653,1.48959E+11,7272151,75.07,12423724190,8.34,1516,6334271,65.38,10239668028,6.87,1602.2,937880,9.68,2184056162,1.47,1112.2,2415502,24.93,1.36536E+11,91.66,45.8
Hawaii,"460,542","519,508",12.4,"455,338",57.7,1360301,16634529975,1250489,91.93,1018212915,6.12,3180.8,972075,71.46,585035739,3.52,4303.4,278414,20.47,433177176,2.6,1664.7,109812,8.07,15616317060,93.88,18.2
Idaho,"527,824","667,796",13.2,"579,408",69.9,1567582,2.14045E+11,1106370,70.58,1292606730,0.6,2216.8,791843,50.51,886257981,0.41,2314.1,314527,20.06,406348749,0.19,2004.7,461212,29.42,2.12752E+11,99.4,5.6
Illinois,"4,885,615","5,296,715",8.7,"4,836,972",67.5,12830632,1.43793E+11,11353553,88.49,10218955838,7.11,2877.6,10260671,79.97,8610185823,5.99,3086.5,1092882,8.52,1608770015,1.12,1759.5,1477079,11.51,1.33574E+11,92.89,28.6
Indiana,"2,532,319","2,795,541",10.5,"2,502,154",69.9,6483802,92789193658,4697100,72.44,6540696730,7.05,1860,3836584,59.17,5187412076,5.59,1915.5,860516,13.27,1353284654,1.46,1646.9,1786702,27.56,86248496928,92.95,53.7
Iowa,"1,232,511","1,336,417",8.6,"1,221,576",72.1,3046355,1.44669E+11,1950256,64.02,2468980575,1.71,2045.8,1268964,41.66,1507132351,1.04,2180.7,681292,22.36,961848224,0.66,1834.5,1096099,35.98,1.422E+11,98.29,20
Kansas,"1,131,200","1,233,215",9.8,"1,112,096",67.8,2853118,2.11754E+11,2116961,74.2,2519183616,1.19,2176.5,1431424,50.17,1623806507,0.77,2283.1,685537,24.03,895377109,0.42,1983,736157,25.8,2.09235E+11,98.81,9.1
Kentucky,"1,750,927","1,927,164",10.8,"1,719,965",68.7,4339367,1.02269E+11,2533343,58.38,3653655859,3.57,1795.8,1778528,40.99,2207361288,2.16,2086.8,754815,17.39,1446294571,1.41,1351.7,1806024,41.62,98615485782,96.43,47.4
Louisiana,"1,847,181","1,964,981",12,"1,728,360",67.2,4533372,1.11898E+11,3317805,73.19,5097451640,4.56,1685.8,2780406,61.33,4010132099,3.58,1795.8,537399,11.85,1087319541,0.97,1280.1,1215567,26.81,1.068E+11,95.44,29.5
Maine,"651,901","721,830",22.8,"557,219",71.3,1328361,79882800680,513542,38.66,931423305,1.17,1428,348137,26.21,616415489,0.77,1462.8,165405,12.45,315007816,0.39,1360,814819,61.34,78951377375,98.83,26.7
Maryland,"2,145,283","2,378,814",9.3,"2,156,411",67.5,5773552,25141638381,5034331,87.2,5191942757,20.65,2511.4,4822869,83.53,4767985793,18.96,2619.8,211462,3.66,423956964,1.69,1291.8,739221,12.8,19949695624,79.35,96
Massachusetts,"2,621,989","2,808,254",9.3,"2,547,075",62.3,6547629,20202057805,6021989,91.97,7735338848,38.29,2016.3,5912700,90.3,7498364724,37.12,2042.3,109289,1.67,236974124,1.17,1194.5,525640,8.03,12466718957,61.71,109.2
Michigan,"4,234,279","4,532,233",14.6,"3,872,508",72.1,9883640,1.46435E+11,7369957,74.57,9384151623,6.41,2034.1,6560163,66.37,7875668905,5.38,2157.4,809794,8.19,1508482718,1.03,1390.4,2513683,25.43,1.37051E+11,93.59,47.5
Minnesota,"2,065,946","2,347,201",11.1,"2,087,227",73,5303925,2.06232E+11,3886311,73.27,4416575848,2.14,2279,3076032,58,3182448693,1.54,2503.4,810279,15.28,1234127155,0.6,1700.5,1417614,26.73,2.01816E+11,97.86,18.2
Mississippi,"1,161,953","1,274,719",12.5,"1,115,768",69.6,2967297,1.21531E+11,1464224,49.35,2864191371,2.36,1324,819522,27.62,1581129734,1.3,1342.4,644702,21.73,1283061637,1.06,1301.4,1503073,50.65,1.18667E+11,97.64,32.8
Missouri,"2,442,017","2,712,729",12.4,"2,375,611",68.8,5988927,1.7804E+11,4218371,70.44,5320506862,2.99,2053.5,3390061,56.61,3899820503,2.19,2251.4,828310,13.83,1420686359,0.8,1510.1,1770556,29.56,1.72719E+11,97.01,26.6
Montana,"412,633","482,825",15.2,"409,607",68,989415,3.76962E+11,553014,55.89,769702271,0.2,1860.8,262137,26.49,334839591,0.09,2027.6,290877,29.4,434862680,0.12,1732.4,436401,44.11,3.76192E+11,99.8,3
Nebraska,"722,668","796,793",9.5,"721,130",67.2,1826341,1.98974E+11,1335686,73.13,1357102386,0.68,2549.1,982197,53.78,944821650,0.47,2692.4,353489,19.36,412280736,0.21,2220.7,490655,26.87,1.97617E+11,99.32,6.4
Nevada,"827,457","1,173,814",14.3,"1,006,250",58.8,2700551,2.84332E+11,2543797,94.2,1987575459,0.7,3314.8,2336222,86.51,1565145978,0.55,3866,207575,7.69,422429481,0.15,1272.7,156754,5.8,2.82344E+11,99.3,1.4
New Hampshire,"547,024","614,754",15.6,"518,973",71,1316470,23187259277,793872,60.3,1668054122,7.19,1232.6,623168,47.34,1344142228,5.8,1200.8,170704,12.97,323911894,1.4,1364.9,522598,39.7,21519205155,92.81,62.9
New Jersey,"3,310,275","3,553,562",9.5,"3,214,360",65.4,8791894,19047341691,8324126,94.68,7561624746,39.7,2851.2,8109908,92.24,7178066812,37.69,2926.2,214218,2.44,383557934,2.01,1446.5,467768,5.32,11485716945,60.3,105.5
New Mexico,"780,579","901,388",12.2,"791,395",68.5,2059179,3.14161E+11,1594361,77.43,2141181968,0.68,1928.5,1106721,53.75,1267853668,0.4,2260.8,487640,23.68,873328300,0.28,1446.2,464818,22.57,3.1202E+11,99.32,3.9
New York,"7,679,307","8,108,103",9.7,"7,317,755",53.3,19378102,1.22057E+11,17028105,87.87,10597911232,8.68,4161.4,16018144,82.66,9059207000,7.42,4579.5,1009961,5.21,1538704232,1.26,1700,2349997,12.13,1.11459E+11,91.32,54.6
Nortch Carolina,"3,523,944","4,327,528",13.5,"3,745,155",66.7,9535483,1.2592E+11,6301756,66.09,11937724456,9.48,1367.2,5232799,54.88,9285141220,7.37,1459.6,1068957,11.21,2652583236,2.11,1043.7,3233727,33.91,1.13982E+11,90.52,73.5
North Dakota,"289,677","317,498",11.4,"281,192",65.4,672591,1.78711E+11,402872,59.9,475973352,0.27,2192.2,269056,40,290454982,0.16,2399.2,133816,19.9,185518370,0.1,1868.2,269719,40.1,1.78235E+11,99.73,3.9
Ohio,"4,783,051","5,127,508",10.2,"4,603,435",67.6,11536504,1.05829E+11,8989694,77.92,11448575862,10.82,2033.7,7534686,65.31,9282948899,8.77,2102.2,1455008,12.61,2165626963,2.05,1740.1,2546810,22.08,94380130830,89.18,69.9
Oklahoma,"1,514,400","1,664,378",12.3,"1,460,450",67.2,3751351,1.7766E+11,2485029,66.24,3384365635,1.9,1901.7,1717572,45.79,2169231644,1.22,2050.7,767457,20.46,1215133991,0.68,1635.8,1266322,33.76,1.74276E+11,98.1,18.8
Oregon,"1,452,709","1,675,562",9.3,"1,518,938",62.2,3831074,2.48608E+11,3104382,81.03,2866510400,1.15,2804.9,2393393,62.47,1933314021,0.78,3206.3,710989,18.56,933196379,0.38,1973.3,726692,18.97,2.45741E+11,98.85,7.7
Pennsylvania,"5,249,750","5,567,315",9.9,"5,018,904",69.6,12702379,1.15883E+11,9991287,78.66,12186542023,10.52,2123.4,8977537,70.68,10468869338,9.03,2221,1013750,7.98,1717672685,1.48,1528.6,2711092,21.34,1.03697E+11,89.48,67.7
Rhode Island,"439,837","463,388",10.7,"413,600",60.7,1052567,2677566454,955043,90.73,1037649938,38.75,2383.8,952101,90.46,1026796770,38.35,2401.6,2942,0.28,10853168,0.41,702.1,97524,9.27,1639916516,61.25,154
South Carolina,"1,753,670","2,137,683",15.7,"1,801,181",69.3,4625364,77856841944,3067809,66.33,6168413106,7.92,1288.1,2580045,55.78,5037540904,6.47,1326.5,487764,10.55,1130872202,1.45,1117.1,1557555,33.67,71688428838,92.08,56.3
South Dakota,"323,208","363,438",11.3,"322,282",68.1,814180,1.9635E+11,461247,56.65,586090288,0.3,2038.3,243587,29.92,290234955,0.15,2173.7,217660,26.73,295855333,0.15,1905.4,352933,43.35,1.95763E+11,99.7,4.7
Tennessee,"2,439,443","2,812,133",11.3,"2,493,552",68.2,6346105,1.06798E+11,4213245,66.39,7524311791,7.05,1450.3,3450715,54.38,5689184718,5.33,1570.9,762530,12.02,1835127073,1.72,1076.2,2132860,33.61,99273574201,92.95,55.6
Texas,"8,157,575","9,977,436",10.6,"8,922,933",63.7,25145561,6.76587E+11,21298039,84.7,22651009601,3.35,2435.3,18947957,75.35,18698378243,2.76,2624.6,2350082,9.35,3952631358,0.58,1539.9,3847522,15.3,6.53936E+11,96.65,15.2
Utah,"768,594","979,709",10.4,"877,692",70.4,2763885,2.12818E+11,2503595,90.58,2369045186,1.11,2737.1,2243441,81.17,1950862546,0.92,2978.4,260154,9.41,418182640,0.2,1611.2,260290,9.42,2.10449E+11,98.89,3.2
Vermont,"294,382","322,539",20.5,"256,442",70.7,625741,23871030489,243385,38.9,404380140,1.69,1558.8,108740,17.38,159947183,0.67,1760.8,134645,21.52,244432957,1.02,1426.7,382356,61.1,23466650349,98.31,42.2
Virginia,"2,904,192","3,364,939",9.2,"3,056,058",67.2,8001024,1.02279E+11,6037094,75.45,6902790588,6.75,2265.2,5584039,69.79,5907724619,5.78,2448.1,453055,5.66,995065969,0.97,1179.2,1963930,24.55,95376058721,93.25,53.3
Washington,"2,451,075","2,885,677",9.2,"2,620,076",63.9,6724540,1.72119E+11,5651869,84.05,6150546552,3.57,2380,5041475,74.97,5088055314,2.96,2566.3,610394,9.08,1062491238,0.62,1487.9,1072671,15.95,1.65968E+11,96.43,16.7
West Virginia,"844,623","881,917",13.4,"763,831",73.4,1852994,62258675601,902810,48.72,1658489502,2.66,1409.9,615254,33.2,1097015856,1.76,1452.6,287556,15.52,561473646,0.9,1326.4,950184,51.28,60600186099,97.34,40.6
Wisconsin,"2,321,144","2,624,358",13.1,"2,279,768",68.1,5686986,1.40268E+11,3989638,70.15,4866498071,3.47,2123.3,3173382,55.8,3601725983,2.57,2282,816256,14.35,1264772088,0.9,1671.5,1697348,29.85,1.35402E+11,96.53,32.5
Wyoming,"223,854","261,868",13.4,"226,879",69.2,563626,2.5147E+11,364993,64.76,503865599,0.2,1876.2,138136,24.51,169577798,0.07,2109.8,226857,40.25,334287801,0.13,1757.6,198633,35.24,2.50966E+11,99.8,2
Puerto Rico,"1,418,476","1,636,946",15.9,"1,376,531",71.6,3725789,8867536532,3493256,93.76,4340823295,48.95,2084.3,3379977,90.72,4183015867,47.17,2092.8,113279,3.04,157807428,1.78,1859.2,232533,6.24,4526713237,51.05,133
