Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/14/11,37-063-0015,1,5.9,ug/m3 LC,19,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/17/11,37-063-0015,1,17.2,ug/m3 LC,54,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/20/11,37-063-0015,1,5.3,ug/m3 LC,17,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/23/11,37-063-0015,1,7.5,ug/m3 LC,24,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/26/11,37-063-0015,1,7.6,ug/m3 LC,25,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/1/11,37-063-0015,1,3.7,ug/m3 LC,12,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/4/11,37-063-0015,1,8.9,ug/m3 LC,29,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/7/11,37-063-0015,1,4.5,ug/m3 LC,15,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/10/11,37-063-0015,1,2.7,ug/m3 LC,9,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/13/11,37-063-0015,1,10.5,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/16/11,37-063-0015,1,6.1,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/19/11,37-063-0015,1,8.3,ug/m3 LC,27,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/22/11,37-063-0015,1,13.8,ug/m3 LC,45,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/25/11,37-063-0015,1,9.1,ug/m3 LC,30,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/28/11,37-063-0015,1,10.6,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
3/31/11,37-063-0015,1,4.8,ug/m3 LC,16,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/3/11,37-063-0015,1,6.1,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/6/11,37-063-0015,1,5.6,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/9/11,37-063-0015,1,9.1,ug/m3 LC,30,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/12/11,37-063-0015,1,7.2,ug/m3 LC,23,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/16/11,37-063-0015,1,6.6,ug/m3 LC,21,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/18/11,37-063-0015,1,8.6,ug/m3 LC,28,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/21/11,37-063-0015,1,8.6,ug/m3 LC,28,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/24/11,37-063-0015,1,11,ug/m3 LC,36,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/27/11,37-063-0015,1,5.6,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
4/30/11,37-063-0015,1,6.2,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/3/11,37-063-0015,1,8.5,ug/m3 LC,28,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/6/11,37-063-0015,1,9.3,ug/m3 LC,30,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/9/11,37-063-0015,1,8.8,ug/m3 LC,29,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/11/11,37-063-0015,1,18.6,ug/m3 LC,57,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/12/11,37-063-0015,1,20,ug/m3 LC,60,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/15/11,37-063-0015,1,8,ug/m3 LC,26,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/18/11,37-063-0015,1,6.3,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/21/11,37-063-0015,1,10.8,ug/m3 LC,35,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/27/11,37-063-0015,1,6.8,ug/m3 LC,22,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/30/11,37-063-0015,1,14.9,ug/m3 LC,48,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
5/31/11,37-063-0015,1,22.5,ug/m3 LC,65,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/2/11,37-063-0015,1,16.9,ug/m3 LC,54,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/5/11,37-063-0015,1,16.8,ug/m3 LC,54,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/8/11,37-063-0015,1,21.3,ug/m3 LC,62,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/11/11,37-063-0015,1,14.2,ug/m3 LC,46,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/14/11,37-063-0015,1,10.8,ug/m3 LC,35,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/17/11,37-063-0015,1,12,ug/m3 LC,39,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/20/11,37-063-0015,1,8.4,ug/m3 LC,27,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/23/11,37-063-0015,1,4.3,ug/m3 LC,14,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/26/11,37-063-0015,1,14.1,ug/m3 LC,46,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
6/29/11,37-063-0015,1,8.4,ug/m3 LC,27,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/2/11,37-063-0015,1,17.3,ug/m3 LC,55,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/5/11,37-063-0015,1,10,ug/m3 LC,32,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/8/11,37-063-0015,1,12.4,ug/m3 LC,40,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/14/11,37-063-0015,1,9.2,ug/m3 LC,30,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/17/11,37-063-0015,1,7.9,ug/m3 LC,26,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/18/11,37-063-0015,1,9.6,ug/m3 LC,31,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/21/11,37-063-0015,1,18,ug/m3 LC,56,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/23/11,37-063-0015,1,17.2,ug/m3 LC,54,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/26/11,37-063-0015,1,10,ug/m3 LC,32,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
7/29/11,37-063-0015,1,14.3,ug/m3 LC,46,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/1/11,37-063-0015,1,10.7,ug/m3 LC,35,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/4/11,37-063-0015,1,16.2,ug/m3 LC,52,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/7/11,37-063-0015,1,10.1,ug/m3 LC,33,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/10/11,37-063-0015,1,8.8,ug/m3 LC,29,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/13/11,37-063-0015,1,15.2,ug/m3 LC,49,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/16/11,37-063-0015,1,10.1,ug/m3 LC,33,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/19/11,37-063-0015,1,13.7,ug/m3 LC,44,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/22/11,37-063-0015,1,8.4,ug/m3 LC,27,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/25/11,37-063-0015,1,6.6,ug/m3 LC,21,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/28/11,37-063-0015,1,15.2,ug/m3 LC,49,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
8/31/11,37-063-0015,1,8.7,ug/m3 LC,28,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/3/11,37-063-0015,1,15.8,ug/m3 LC,52,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/6/11,37-063-0015,1,3.8,ug/m3 LC,12,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/9/11,37-063-0015,1,10.7,ug/m3 LC,35,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/12/11,37-063-0015,1,11.7,ug/m3 LC,38,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/15/11,37-063-0015,1,13.2,ug/m3 LC,43,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/18/11,37-063-0015,1,2.9,ug/m3 LC,9,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/21/11,37-063-0015,1,4.6,ug/m3 LC,15,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/24/11,37-063-0015,1,5.6,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/27/11,37-063-0015,1,8.2,ug/m3 LC,27,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
9/30/11,37-063-0015,1,5.7,ug/m3 LC,19,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/1/11,37-063-0015,3,16.7125,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/2/11,37-063-0015,3,3.754166667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/3/11,37-063-0015,3,4.855555556,ug/m3 LC,.,18,75,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/4/11,37-063-0015,3,8.6875,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/5/11,37-063-0015,3,10.18333333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/6/11,37-063-0015,3,8.495833333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/7/11,37-063-0015,3,5.991666667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/8/11,37-063-0015,3,5.320833333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/9/11,37-063-0015,3,6.9125,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/10/11,37-063-0015,3,6.604166667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/11/11,37-063-0015,3,5.804166667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/12/11,37-063-0015,3,7.808333333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/13/11,37-063-0015,3,9.095833333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/14/11,37-063-0015,3,10.45416667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/15/11,37-063-0015,3,11.92916667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/16/11,37-063-0015,3,14.01666667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/17/11,37-063-0015,3,12.98333333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/18/11,37-063-0015,3,8.579166667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/19/11,37-063-0015,3,7.195833333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/20/11,37-063-0015,3,6.9375,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/21/11,37-063-0015,3,4.9125,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/22/11,37-063-0015,3,7.183333333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/23/11,37-063-0015,3,14.22916667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/24/11,37-063-0015,3,10.61904762,ug/m3 LC,.,21,88,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/25/11,37-063-0015,3,13.15833333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/26/11,37-063-0015,3,3.95,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/27/11,37-063-0015,3,10.58333333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/28/11,37-063-0015,3,12.18333333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/29/11,37-063-0015,3,9.420833333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/30/11,37-063-0015,3,14.25833333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/31/11,37-063-0015,3,13.80833333,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/1/11,37-063-0015,3,10.25238095,ug/m3 LC,.,21,88,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/2/11,37-063-0015,3,6.129166667,ug/m3 LC,.,24,100,88502,Acceptable PM2.5 AQI & Speciation Mass,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
