Census_year	State_FIPS_code	Metropolitan_area_Detailed	Age	Sex	Race_General	Marital_status	Total_personal_income
2000	California	Sacramento_ CA	24	Female	White	Married_ spouse present	0
2000	California	Sacramento_ CA	4	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	77	Male	White	Married_ spouse present	55000
2000	California	Sacramento_ CA	63	Female	Two major races	Married_ spouse present	51000
2000	California	Sacramento_ CA	33	Male	White	Married_ spouse present	20000
2000	California	Sacramento_ CA	12	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	4	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	1	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	35	Male	Black/Negro	Divorced	850
2000	California	Sacramento_ CA	44	Male	White	Married_ spouse present	80000
2000	California	Sacramento_ CA	44	Female	White	Married_ spouse present	44000
2000	California	Sacramento_ CA	18	Male	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	15	Female	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	19	Male	Two major races	Never married/single (N/A)	3750
2000	California	Sacramento_ CA	37	Male	Black/Negro	Married_ spouse present	20000
2000	California	Sacramento_ CA	1	Male	Other race_ nec	Never married/single (N/A)	
2000	California	Sacramento_ CA	30	Male	White	Married_ spouse present	36000
2000	California	Sacramento_ CA	39	Male	White	Married_ spouse absent	55000
2000	California	Sacramento_ CA	41	Female	White	Married_ spouse absent	0
2000	California	Sacramento_ CA	36	Female	White	Never married/single (N/A)	32000
2000	California	Sacramento_ CA	33	Female	White	Divorced	36000
2000	California	Sacramento_ CA	18	Male	Other race_ nec	Never married/single (N/A)	2010
2000	California	Sacramento_ CA	2	Male	Other race_ nec	Never married/single (N/A)	
2000	California	Sacramento_ CA	49	Male	White	Married_ spouse present	76300
2000	California	Sacramento_ CA	46	Female	White	Married_ spouse present	41000
2000	California	Sacramento_ CA	20	Female	Black/Negro	Never married/single (N/A)	10000
2000	California	Sacramento_ CA	35	Male	White	Divorced	9600
2000	California	Sacramento_ CA	59	Male	White	Divorced	54000
2000	California	Sacramento_ CA	44	Female	White	Never married/single (N/A)	29000
2000	California	Sacramento_ CA	15	Female	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	51	Male	Japanese	Married_ spouse present	12000
2000	California	Sacramento_ CA	19	Male	White	Never married/single (N/A)	2000
2000	California	Sacramento_ CA	16	Male	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	14	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	54	Female	White	Married_ spouse present	39400
2000	California	Sacramento_ CA	51	Female	White	Married_ spouse present	0
2000	California	Sacramento_ CA	12	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	30	Female	White	Married_ spouse present	40000
2000	California	Sacramento_ CA	29	Male	White	Married_ spouse present	30000
2000	California	Sacramento_ CA	0	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	63	Female	White	Married_ spouse present	22100
2000	California	Sacramento_ CA	46	Female	White	Divorced	17900
2000	California	Sacramento_ CA	26	Male	White	Never married/single (N/A)	20000
2000	California	Sacramento_ CA	46	Female	Black/Negro	Divorced	23000
2000	California	Sacramento_ CA	24	Male	Black/Negro	Never married/single (N/A)	25000
2000	California	Sacramento_ CA	80	Male	White	Married_ spouse absent	12000
2000	California	Sacramento_ CA	36	Male	White	Married_ spouse present	10900
2000	California	Sacramento_ CA	29	Male	White	Married_ spouse absent	160000
2000	California	Sacramento_ CA	64	Male	White	Divorced	14000
2000	California	Sacramento_ CA	27	Female	White	Married_ spouse present	19600
2000	California	Sacramento_ CA	29	Male	White	Married_ spouse present	68000
2000	California	Sacramento_ CA	93	Male	White	Married_ spouse present	39300
2000	California	Sacramento_ CA	22	Male	Other Asian or Pacific Islander	Never married/single (N/A)	12000
2000	California	Sacramento_ CA	23	Male	Other Asian or Pacific Islander	Never married/single (N/A)	6700
2000	California	Sacramento_ CA	38	Male	White	Divorced	50000
2000	California	Sacramento_ CA	40	Female	White	Married_ spouse present	52490
2000	California	Sacramento_ CA	39	Male	White	Married_ spouse present	62400
2000	California	Sacramento_ CA	11	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	25	Female	Other Asian or Pacific Islander	Married_ spouse present	0
2000	California	Sacramento_ CA	8	Female	Other Asian or Pacific Islander	Never married/single (N/A)	
2000	California	Sacramento_ CA	44	Male	Two major races	Married_ spouse present	16000
2000	California	Sacramento_ CA	39	Female	Two major races	Married_ spouse present	6900
2000	California	Sacramento_ CA	21	Male	Other race_ nec	Never married/single (N/A)	4000
2000	California	Sacramento_ CA	20	Male	White	Never married/single (N/A)	13000
2000	California	Sacramento_ CA	17	Female	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	12	Female	Other race_ nec	Never married/single (N/A)	
2000	California	Sacramento_ CA	21	Male	Other race_ nec	Never married/single (N/A)	16700
2000	California	Sacramento_ CA	37	Female	Black/Negro	Separated	24900
2000	California	Sacramento_ CA	33	Male	Black/Negro	Never married/single (N/A)	16100
2000	California	Sacramento_ CA	15	Male	Black/Negro	Never married/single (N/A)	7100
2000	California	Sacramento_ CA	7	Female	Black/Negro	Never married/single (N/A)	
2000	California	Sacramento_ CA	12	Female	Other Asian or Pacific Islander	Never married/single (N/A)	
2000	California	Sacramento_ CA	4	Female	Other Asian or Pacific Islander	Never married/single (N/A)	
2000	California	Sacramento_ CA	1	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	16	Male	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	15	Male	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	65	Male	White	Married_ spouse present	44800
2000	California	Sacramento_ CA	71	Female	White	Married_ spouse present	16000
2000	California	Sacramento_ CA	71	Male	White	Married_ spouse present	86700
2000	California	Sacramento_ CA	65	Female	White	Married_ spouse present	3000
2000	California	Sacramento_ CA	40	Female	White	Married_ spouse present	12500
2000	California	Sacramento_ CA	12	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	52	Female	White	Married_ spouse present	16600
2000	California	Sacramento_ CA	40	Female	Two major races	Married_ spouse present	170000
2000	California	Sacramento_ CA	46	Male	Two major races	Married_ spouse present	70000
2000	California	Sacramento_ CA	31	Male	White	Married_ spouse present	32000
2000	California	Sacramento_ CA	8	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	36	Male	Other race_ nec	Married_ spouse present	40040
2000	California	Sacramento_ CA	8	Male	Other race_ nec	Never married/single (N/A)	
2000	California	Sacramento_ CA	45	Male	White	Married_ spouse present	10000
2000	California	Sacramento_ CA	36	Female	White	Married_ spouse present	34000
2000	California	Sacramento_ CA	29	Male	White	Married_ spouse present	600
2000	California	Sacramento_ CA	24	Female	White	Married_ spouse present	0
2000	California	Sacramento_ CA	43	Male	White	Married_ spouse present	6000
2000	California	Sacramento_ CA	2	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	0	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	37	Male	Black/Negro	Married_ spouse present	50020
2000	California	Sacramento_ CA	35	Female	Black/Negro	Married_ spouse present	50020
2000	California	Sacramento_ CA	50	Male	White	Married_ spouse present	92000
2000	California	Sacramento_ CA	49	Female	White	Married_ spouse present	70000
2000	California	Sacramento_ CA	7	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	7	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	35	Male	White	Married_ spouse present	15000
2000	California	Sacramento_ CA	27	Female	White	Married_ spouse present	16000
2000	California	Sacramento_ CA	38	Female	Other Asian or Pacific Islander	Never married/single (N/A)	30000
2000	California	Sacramento_ CA	58	Male	White	Married_ spouse present	134000
2000	California	Sacramento_ CA	53	Female	Two major races	Married_ spouse present	0
2000	California	Sacramento_ CA	41	Male	White	Married_ spouse present	170000
2000	California	Sacramento_ CA	14	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	48	Female	Two major races	Married_ spouse present	0
2000	California	Sacramento_ CA	33	Female	Two major races	Married_ spouse present	65200
2000	California	Sacramento_ CA	82	Female	White	Widowed	49700
2000	California	Sacramento_ CA	50	Male	White	Married_ spouse present	79100
2000	California	Sacramento_ CA	47	Female	White	Married_ spouse present	14200
2000	California	Sacramento_ CA	30	Male	Two major races	Married_ spouse present	20000
2000	California	Sacramento_ CA	44	Female	Two major races	Married_ spouse present	105200
2000	California	Sacramento_ CA	41	Female	White	Married_ spouse present	20000
2000	California	Sacramento_ CA	4	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	1	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	25	Female	White	Never married/single (N/A)	29200
2000	California	Sacramento_ CA	7	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	53	Female	White	Married_ spouse present	60000
2000	California	Sacramento_ CA	19	Female	White	Never married/single (N/A)	2000
2000	California	Sacramento_ CA	93	Male	White	Divorced	22600
2000	California	Sacramento_ CA	32	Male	White	Divorced	12000
2000	California	Sacramento_ CA	50	Female	White	Married_ spouse present	34000
2000	California	Sacramento_ CA	53	Male	White	Married_ spouse present	24600
2000	California	Sacramento_ CA	41	Male	White	Married_ spouse present	50000
2000	California	Sacramento_ CA	38	Female	White	Married_ spouse present	21000
2000	California	Sacramento_ CA	15	Female	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	8	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	0	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	79	Female	White	Widowed	16000
2000	California	Sacramento_ CA	63	Female	White	Widowed	206900
2000	California	Sacramento_ CA	41	Male	White	Married_ spouse present	10000
2000	California	Sacramento_ CA	40	Female	White	Married_ spouse present	5600
2000	California	Sacramento_ CA	34	Female	White	Never married/single (N/A)	24500
2000	California	Sacramento_ CA	11	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	51	Male	White	Married_ spouse present	84900
2000	California	Sacramento_ CA	11	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	66	Male	White	Married_ spouse present	9300
2000	California	Sacramento_ CA	65	Female	White	Married_ spouse present	5600
2000	California	Sacramento_ CA	52	Male	White	Married_ spouse present	60400
2000	California	Sacramento_ CA	31	Male	White	Never married/single (N/A)	25000
2000	California	Sacramento_ CA	54	Female	White	Divorced	25000
2000	California	Sacramento_ CA	7	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	5	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	43	Female	White	Married_ spouse present	5000
2000	California	Sacramento_ CA	12	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	44	Male	White	Never married/single (N/A)	20000
2000	California	Sacramento_ CA	69	Female	White	Widowed	30400
2000	California	Sacramento_ CA	52	Female	White	Separated	13000
2000	California	Sacramento_ CA	42	Male	White	Married_ spouse present	81000
2000	California	Sacramento_ CA	47	Female	White	Married_ spouse present	13400
2000	California	Sacramento_ CA	12	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	59	Female	White	Married_ spouse present	30400
2000	California	Sacramento_ CA	14	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	6	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	1	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	28	Female	White	Married_ spouse present	37600
2000	California	Sacramento_ CA	1	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	0	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	62	Male	White	Married_ spouse present	115000
2000	California	Sacramento_ CA	83	Female	Chinese	Widowed	82100
2000	California	Sacramento_ CA	9	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	50	Male	White	Married_ spouse present	50000
2000	California	Sacramento_ CA	48	Male	White	Married_ spouse present	13600
2000	California	Sacramento_ CA	23	Male	White	Never married/single (N/A)	900
2000	Ohio	Cleveland_ OH	76	Male	White	Married_ spouse absent	33000
2000	Ohio	Cleveland_ OH	68	Male	White	Married_ spouse present	41300
2000	Ohio	Cleveland_ OH	46	Female	White	Married_ spouse present	47700
2000	Ohio	Cleveland_ OH	45	Male	White	Widowed	6690
2000	Ohio	Cleveland_ OH	48	Male	White	Married_ spouse present	90000
2000	Ohio	Cleveland_ OH	48	Female	White	Married_ spouse present	21000
2000	Ohio	Cleveland_ OH	15	Female	White	Never married/single (N/A)	0
2000	Ohio	Cleveland_ OH	50	Male	White	Married_ spouse present	81000
2000	Ohio	Cleveland_ OH	50	Female	White	Married_ spouse present	17000
2000	Ohio	Cleveland_ OH	62	Female	White	Married_ spouse present	2300
2000	Ohio	Cleveland_ OH	30	Male	White	Married_ spouse present	35200
2000	Ohio	Cleveland_ OH	31	Female	White	Married_ spouse present	24600
2000	Ohio	Cleveland_ OH	5	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	49	Male	White	Married_ spouse present	127000
2000	Ohio	Cleveland_ OH	16	Male	White	Never married/single (N/A)	130
2000	Ohio	Cleveland_ OH	88	Female	White	Widowed	19900
2000	Ohio	Cleveland_ OH	35	Female	White	Married_ spouse present	10000
2000	Ohio	Cleveland_ OH	38	Male	White	Never married/single (N/A)	18200
2000	Ohio	Cleveland_ OH	67	Female	White	Married_ spouse present	8400
2000	Ohio	Cleveland_ OH	48	Female	White	Married_ spouse present	0
2000	Ohio	Cleveland_ OH	32	Male	White	Married_ spouse present	43000
2000	Ohio	Cleveland_ OH	21	Female	Black/Negro	Never married/single (N/A)	10600
2000	Ohio	Cleveland_ OH	32	Female	White	Married_ spouse present	27600
2000	Ohio	Cleveland_ OH	12	Female	Two major races	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	7	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	5	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	38	Female	White	Married_ spouse present	0
2000	Ohio	Cleveland_ OH	11	Female	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	8	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	5	Female	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	0	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	42	Male	White	Married_ spouse present	96030
2000	Ohio	Cleveland_ OH	42	Female	White	Married_ spouse present	28000
2000	Ohio	Cleveland_ OH	25	Male	White	Divorced	25000
2000	Ohio	Cleveland_ OH	54	Male	White	Married_ spouse present	31000
2000	Ohio	Cleveland_ OH	52	Female	White	Married_ spouse present	36100
2000	Ohio	Cleveland_ OH	29	Male	White	Separated	61000
2000	Ohio	Cleveland_ OH	58	Female	White	Divorced	6100
2000	Ohio	Cleveland_ OH	70	Male	White	Married_ spouse present	0
2000	Ohio	Cleveland_ OH	24	Female	White	Never married/single (N/A)	27000
2000	Ohio	Cleveland_ OH	14	Female	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	12	Female	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	43	Female	Other race_ nec	Married_ spouse present	39000
2000	Ohio	Cleveland_ OH	13	Male	Other race_ nec	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	20	Female	Other race_ nec	Never married/single (N/A)	1540
2000	Ohio	Cleveland_ OH	54	Female	White	Divorced	55000
2000	Ohio	Cleveland_ OH	15	Female	White	Never married/single (N/A)	0
2000	Ohio	Cleveland_ OH	13	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	38	Female	White	Married_ spouse present	29000
2000	Ohio	Cleveland_ OH	42	Female	American Indian or Alaska Native	Never married/single (N/A)	14100
2000	Ohio	Cleveland_ OH	58	Male	White	Married_ spouse present	152400
2000	Ohio	Cleveland_ OH	26	Male	White	Married_ spouse present	36600
2000	Ohio	Cleveland_ OH	8	Female	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	5	Female	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	0	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	65	Male	White	Married_ spouse present	20100
2000	Ohio	Cleveland_ OH	56	Female	White	Married_ spouse present	300
2000	Ohio	Cleveland_ OH	61	Female	White	Married_ spouse present	6400
2000	Ohio	Cleveland_ OH	50	Male	White	Married_ spouse present	75600
2000	Ohio	Cleveland_ OH	41	Female	White	Married_ spouse present	490
2000	Ohio	Cleveland_ OH	11	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	86	Male	White	Widowed	29500
2000	Ohio	Cleveland_ OH	45	Male	White	Divorced	67900
2000	Ohio	Cleveland_ OH	33	Male	White	Never married/single (N/A)	22000
2000	Ohio	Cleveland_ OH	51	Female	White	Married_ spouse absent	9600
2000	Ohio	Cleveland_ OH	15	Female	White	Never married/single (N/A)	0
2000	Ohio	Cleveland_ OH	32	Female	White	Divorced	35500
2000	Ohio	Cleveland_ OH	22	Female	White	Never married/single (N/A)	24000
2000	Ohio	Cleveland_ OH	10	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	77	Male	White	Married_ spouse present	13210
2000	Ohio	Cleveland_ OH	75	Female	White	Married_ spouse present	14920
2000	Ohio	Cleveland_ OH	57	Female	White	Married_ spouse present	700
2000	Ohio	Cleveland_ OH	23	Female	White	Never married/single (N/A)	11000
2000	Ohio	Cleveland_ OH	4	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	37	Male	White	Married_ spouse present	30100
2000	Ohio	Cleveland_ OH	72	Female	White	Married_ spouse present	5300
2000	Ohio	Cleveland_ OH	62	Female	White	Divorced	9000
2000	Ohio	Cleveland_ OH	77	Male	White	Divorced	10780
2000	Ohio	Cleveland_ OH	41	Male	White	Never married/single (N/A)	18000
2000	Ohio	Cleveland_ OH	52	Female	White	Divorced	48700
2000	Ohio	Cleveland_ OH	53	Male	White	Divorced	35000
2000	Ohio	Cleveland_ OH	43	Male	White	Married_ spouse present	62000
2000	Ohio	Cleveland_ OH	14	Female	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	10	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	56	Male	White	Married_ spouse present	59300
2000	Ohio	Cleveland_ OH	53	Female	White	Married_ spouse present	35000
2000	Ohio	Cleveland_ OH	60	Male	White	Married_ spouse present	36004
2000	Ohio	Cleveland_ OH	57	Female	White	Married_ spouse present	25010
2000	Ohio	Cleveland_ OH	50	Male	White	Married_ spouse present	37700
2000	Ohio	Cleveland_ OH	45	Female	White	Married_ spouse present	33600
2000	Ohio	Cleveland_ OH	18	Male	White	Never married/single (N/A)	8840
2000	Ohio	Cleveland_ OH	11	Male	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	39	Female	White	Married_ spouse present	24800
2000	Ohio	Cleveland_ OH	35	Male	White	Married_ spouse present	54450
2000	Ohio	Cleveland_ OH	2	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	56	Female	White	Divorced	54400
2000	Ohio	Cleveland_ OH	93	Female	White	Widowed	0
2000	Ohio	Cleveland_ OH	69	Male	White	Widowed	47990
2000	Ohio	Cleveland_ OH	51	Male	White	Married_ spouse present	131000
2000	Ohio	Cleveland_ OH	53	Female	White	Married_ spouse present	70000
2000	Ohio	Cleveland_ OH	80	Male	White	Married_ spouse present	43200
2000	Ohio	Cleveland_ OH	68	Female	White	Married_ spouse present	70800
2000	Ohio	Cleveland_ OH	38	Male	White	Never married/single (N/A)	25000
2000	Ohio	Cleveland_ OH	34	Female	White	Married_ spouse present	30000
2000	Ohio	Cleveland_ OH	70	Female	White	Never married/single (N/A)	66700
2000	Ohio	Cleveland_ OH	57	Male	White	Married_ spouse present	60000
2000	Ohio	Cleveland_ OH	47	Female	White	Never married/single (N/A)	22000
2000	Ohio	Cleveland_ OH	67	Female	White	Married_ spouse absent	28900
2000	Ohio	Cleveland_ OH	35	Female	White	Divorced	24100
2000	Ohio	Cleveland_ OH	15	Male	White	Never married/single (N/A)	900
2000	Ohio	Cleveland_ OH	13	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	58	Female	White	Widowed	48900
2000	Ohio	Cleveland_ OH	72	Female	White	Widowed	13600
2000	Ohio	Cleveland_ OH	27	Female	Black/Negro	Never married/single (N/A)	20700
2000	Ohio	Cleveland_ OH	7	Male	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	4	Female	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	0	Female	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	73	Male	White	Widowed	18500
2000	Ohio	Cleveland_ OH	65	Male	Black/Negro	Married_ spouse present	21800
2000	Ohio	Cleveland_ OH	66	Female	Black/Negro	Married_ spouse present	3600
2000	Ohio	Cleveland_ OH	63	Male	White	Married_ spouse present	9000
2000	Ohio	Cleveland_ OH	60	Female	White	Married_ spouse present	0
2000	Ohio	Cleveland_ OH	79	Male	White	Never married/single (N/A)	13400
2000	Ohio	Cleveland_ OH	83	Female	White	Widowed	10400
2000	Ohio	Cleveland_ OH	7	Female	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	83	Male	White	Widowed	18000
2000	Ohio	Cleveland_ OH	62	Male	Black/Negro	Never married/single (N/A)	6000
2000	Ohio	Cleveland_ OH	12	Male	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	1	Female	White	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	14	Male	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	8	Female	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	71	Female	White	Never married/single (N/A)	6000
2000	Ohio	Cleveland_ OH	68	Female	White	Widowed	13570
2000	Ohio	Cleveland_ OH	51	Male	White	Married_ spouse present	32700
2000	Ohio	Cleveland_ OH	50	Female	White	Married_ spouse present	32600
2000	Ohio	Cleveland_ OH	19	Male	White	Never married/single (N/A)	4560
2000	Ohio	Cleveland_ OH	53	Female	White	Never married/single (N/A)	42000
2000	Ohio	Cleveland_ OH	24	Female	Black/Negro	Never married/single (N/A)	2600
2000	Ohio	Cleveland_ OH	2	Female	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	77	Female	White	Widowed	12390
2000	Ohio	Cleveland_ OH	37	Female	Black/Negro	Never married/single (N/A)	23200
2000	Ohio	Cleveland_ OH	16	Female	Black/Negro	Never married/single (N/A)	500
2000	Ohio	Cleveland_ OH	13	Female	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	16	Female	Black/Negro	Never married/single (N/A)	500
2000	Ohio	Cleveland_ OH	2	Female	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	12	Male	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	11	Female	Black/Negro	Never married/single (N/A)	
2000	Ohio	Cleveland_ OH	66	Male	Black/Negro	Divorced	10010
