Age_Husband	Ht_Husband	Age_Wife	Ht_Wife	Age_Husb_at_Marriage	Years_Married	Age_Wife_At_Marriage	Duration
43	1825	52	1570	25	18	34	<= 20
29	1740	26	1670	24	5	21	<= 20
48	1704		1635	27	21		>20
39	1719		1670	25	14		<= 20
47	1731	48	1730	21	26	22	>20
54	1679	53	1560				>20
43	1755	42	1590	20	23	19	>20
54	1713	50	1600	23	31	19	>20
61	1723	64	1490	26	35	29	>20
27	1783	26	1660	20	7	19	<= 20
51	1585		1504	50	1		<= 20
27	1749	32	1580	24	3	29	<= 20
32	1710	31	1500	31	1	30	<= 20
54	1724	53	1640	20	34	19	>20
37	1620	39	1650	21	16	23	<= 20
55	1764	45	1620	29	26	19	>20
36	1791	33	1550	30	6	27	<= 20
32	1795	32	1640	25	7	25	<= 20
57	1738	55	1560	24	33	22	>20
51	1639		1552	25	26		>20
62	1734		1600	33	29		>20
57	1695		1545	22	35		>20
51	1666	52	1570	24	27	25	>20
50	1745	50	1550	22	28	22	>20
32	1775	32	1600	20	12	20	<= 20
54	1669	54	1660	20	34	20	>20
34	1700	32	1640	22	12	20	<= 20
45	1804	41	1670	27	18	23	<= 20
64	1700	61	1560	24	40	21	>20
55	1664	43	1760	31	24	19	>20
27	1753	28	1640	23	4	24	<= 20
55	1788	51	1600	26	29	22	>20
27	1765		1571				>20
41	1680	41	1550	22	19	22	<= 20
44	1715	41	1570	24	20	21	<= 20
22	1755	21	1590	21	1	20	<= 20
30	1764	28	1650	29	1	27	<= 20
53	1793	47	1690	31	22	25	>20
42	1731	37	1580	23	19	18	<= 20
31	1713	28	1590	28	3	25	<= 20
36	1725	35	1510	26	10	25	<= 20
56	1828	55	1600	30	26	29	>20
46	1735	45	1660	22	24	21	>20
34	1760	34	1700	23	11	23	<= 20
55	1685	51	1530	34	21	30	>20
44	1685	39	1490	27	17	22	<= 20
45	1559	35	1580	34	11	24	<= 20
48	1705	45	1500	28	20	25	<= 20
44	1723	44	1600	41	3	41	<= 20
59	1700	47	1570	39	20	27	<= 20
64	1660	57	1620	32	32	25	>20
34	1681	33	1410	22	12	21	<= 20
37	1803	38	1560	23	14	24	<= 20
54	1866	59	1590	49	5	54	<= 20
49	1884	46	1710	25	24	22	>20
63	1705	60	1580	27	36	24	>20
48	1780	47	1690	22	26	21	>20
64	1801	55	1610	37	27	28	>20
33	1795	45	1660	17	16	29	<= 20
52	1669	47	1610	23	29	18	>20
27	1708	24	1590	26	1	23	<= 20
33	1691	32	1530	21	12	20	<= 20
46	1825	47	1690	23	23	24	>20
54	1760	57	1600	23	31	26	>20
27	1949		1693	25	2		<= 20
50	1685		1580	21	29		>20
42	1806		1636	22	20		<= 20
54	1905	46	1670	32	22	24	>20
49	1739	42	1600	28	21	21	>20
62	1736	63	1570	22	40	23	>20
34	1845	32	1700	24	10	22	<= 20
23	1868	24	1740	19	4	20	<= 20
36	1765	32	1540	27	9	23	<= 20
53	1736		1555	30	23		>20
32	1741		1614	22	10		<= 20
59	1720	56	1530	24	35	21	>20
53	1871	50	1690	25	28	22	>20
55	1720	55	1590	21	34	21	>20
62	1629	58	1610	23	39	19	>20
42	1624	38	1670	22	20	18	<= 20
50	1653	44	1690	35	15	29	<= 20
37	1786	35	1550	21	16	19	<= 20
51	1620	44	1650	30	21	23	>20
25	1695	25	1540	19	6	19	<= 20
54	1674	43	1660	35	19	24	<= 20
34	1864	31	1620	23	11	20	<= 20
43	1643	35	1630	29	14	21	<= 20
43	1705	41	1610	22	21	20	>20
58	1736	50	1540	32	26	24	>20
28	1691	23	1610	23	5	18	<= 20
45	1753	43	1630	21	24	19	>20
47	1680	49	1530	20	27	22	>20
57	1724	59	1520	24	33	26	>20
27	1710		1544	20	7		<= 20
34	1638	38	1570	33	1	37	<= 20
57	1725	42	1580	52	5	37	<= 20
27	1725	21	1550	24	3	18	<= 20
54	1630		1570	34	20		<= 20
24	1810		1521	16	8		<= 20
48	1774	42	1580	30	18	24	<= 20
37	1771	35	1630	28	9	26	<= 20
25	1815	26	1650	20	5	21	<= 20
57	1575	57	1640	20	37	20	>20
40	1729	34	1650	26	14	20	<= 20
61	1749	63	1520	21	40	23	>20
25	1705	23	1620	24	1	22	<= 20
32	1875		1744	22	10		<= 20
37	1784		1647	22	15		<= 20
45	1584		1615	29	16		<= 20
24	1774	23	1680	22	2	21	<= 20
47	1658	46	1670	24	23	23	>20
44	1790	40	1620	24	20	20	<= 20
52	1798	53	1570	25	27	26	>20
45	1824	40	1660	23	22	18	>20
20	1796	22	1550	19	1	21	<= 20
60	1725	60	1590	21	39	21	>20
36	1685	32	1620	25	11	21	<= 20
25	1769	24	1560	18	7	17	<= 20
25	1749	28	1670	21	4	24	<= 20
35	1716	40	1650	17	18	22	<= 20
35	1664		1539	22	13		<= 20
49	1773	48	1470	21	28	20	>20
33	1760	33	1580	20	13	20	<= 20
50	1725	49	1670	23	27	22	>20
63	1645	64	1520	28	35	29	>20
57	1694	55	1620	24	33	22	>20
41	1851	41	1710	23	18	23	<= 20
38	1691	38	1530	20	18	20	<= 20
30	1880	31	1630	22	8	23	<= 20
52	1835	52	1720	30	22	30	>20
51	1730	43	1570	22	29	14	>20
46	1644	51	1560	27	19	32	<= 20
50	1723	47	1650	25	25	22	>20
32	1758		1635	24	8		<= 20
52	1718	32	1590	25	27	5	>20
30	1723	33	1590	22	8	25	<= 20
33	1708		1566	21	12		<= 20
20	1786	18	1590	19	1	17	<= 20
32	1764		1662				>20
51	1675	45	1550	25	26	19	>20
64	1641	64	1570	30	34	30	>20
44	1743	43	1560	25	19	24	<= 20
40	1823	39	1630	23	17	22	<= 20
59	1720	56	1530	24	35	21	>20
