address,price,bed,bath,area,link,type,year_built,heating,cooling,parking,lot,hoa
"1101 Norwood Ave, Durham, NC 27707",400000,4,3,2771,https://www.zillow.com/homedetails/1101-Norwood-Ave-Durham-NC-27707/49972262_zpid/,Single Family,1958,"Other, Gas",Central,"Garage - Attached, Covered",0.52,NA
"2 Brower Cir, Durham, NC 27705",579000,3,3,2926,https://www.zillow.com/homedetails/2-Brower-Cir-Durham-NC-27705/49981787_zpid/,Single Family,1984,"Forced air, Gas",Other,0 spaces,0.54,NA
"2736 Mcdowell Rd, Durham, NC 27705",450000,3,2,2200,https://www.zillow.com/homedetails/2736-Mcdowell-Rd-Durham-NC-27705/49967340_zpid/,Single Family,1960,"Forced air, Gas",Central,"Garage - Attached, Garage - Detached, Covered",0.51,NA
"1217 Birchbark Rd, Durham, NC 27705",509620,4,4,3510,https://www.zillow.com/homedetails/1217-Birchbark-Rd-Durham-NC-27705/2085716796_zpid/,Single Family,2019,No Data,No Data,Garage - Attached,NA,$70/mo
"1106 Anderson St, Durham, NC 27705",580000,4,2,2827,https://www.zillow.com/homedetails/1106-Anderson-St-Durham-NC-27705/49972174_zpid/,Single Family,1954,"Forced air, Electric, Gas",Other,0 spaces,0.38,NA
"2543 Sevier St, Durham, NC 27705",392000,2,2,2064,https://www.zillow.com/homedetails/2543-Sevier-St-Durham-NC-27705/49967264_zpid/,Single Family,1961,"Forced air, Electric",Other,"Garage, Carport, Covered",0.48000000000000004,NA
"2330 Auburn St, Durham, NC 27707",559000,3,4,2322,https://www.zillow.com/homedetails/2330-Auburn-St-Durham-NC-27707/157440362_zpid/,Single Family,2017,"Other, Electric, Gas",Other,0 spaces,0.3,NA
"2832 Mcdowell Rd, Durham, NC 27705",95000,4,4.5,4894,https://www.zillow.com/homedetails/2832-Mcdowell-Rd-Durham-NC-27705/50019704_zpid/,Single Family,1970,Other,Other,0 spaces,0.63,NA
"1609 W Cornwallis Rd, Durham, NC 27705",609000,5,4,3175,https://www.zillow.com/homedetails/1609-W-Cornwallis-Rd-Durham-NC-27705/98200183_zpid/,Single Family,2016,"Heat pump, Gas",Other,Garage - Attached,0.47000000000000003,NA
"2801 Dogwood Rd, Durham, NC 27705",565000,4,3,2205,https://www.zillow.com/homedetails/2801-Dogwood-Rd-Durham-NC-27705/49978291_zpid/,Single Family,1954,"Forced air, Gas",Central,"Garage - Attached, Covered",0.53,NA
"2703 Sevier St, Durham, NC 27705",475000,3,2,2425,https://www.zillow.com/homedetails/2703-Sevier-St-Durham-NC-27705/49967325_zpid/,Single Family,1961,"Forced air, Gas",Other,"Carport, Covered",0.9400000000000001,NA
"2618 Pickett Rd, Durham, NC 27705",412500,3,2,1661,https://www.zillow.com/homedetails/2618-Pickett-Rd-Durham-NC-27705/49981811_zpid/,Single Family,1941,"Other, Electric, Gas",Other,"Garage, Garage - Detached, Covered",0.54,NA
"1904 Shelton Ave, Durham, NC 27707",105000,2,1,1094,https://www.zillow.com/homedetails/1904-Shelton-Ave-Durham-NC-27707/49972266_zpid/,Single Family,1940,Other,Other,Garage,0.26,NA
"1847 Woodburn Rd, Durham, NC 27705",520000,4,3,2637,https://www.zillow.com/homedetails/1847-Woodburn-Rd-Durham-NC-27705/49981888_zpid/,Single Family,1968,"Other, Gas",Other,Garage - Attached,0.65,NA
"2813 Montgomery St, Durham, NC 27705",540000,3,3,2165,https://www.zillow.com/homedetails/2813-Montgomery-St-Durham-NC-27705/49981772_zpid/,Single Family,1983,"Forced air, Heat pump, Electric, Gas","Central, Other","Carport, Garage - Attached, Covered",0.39,NA
"2818 Mcdowell Rd, Durham, NC 27705",650000,4,3,3047,https://www.zillow.com/homedetails/2818-Mcdowell-Rd-Durham-NC-27705/50019707_zpid/,Single Family,1972,"Forced air, Gas",Other,"Carport, Covered",0.56,NA
"2749 Dogwood Rd, Durham, NC 27705",592000,3,2,2378,https://www.zillow.com/homedetails/2749-Dogwood-Rd-Durham-NC-27705/49978290_zpid/,Single Family,1960,"Forced air, Gas",No Data,0 spaces,0.75,NA
"2510 Chapel Hill Rd, Durham, NC 27707",285000,4,2.5,2108,https://www.zillow.com/homedetails/2510-Chapel-Hill-Rd-Durham-NC-27707/49968678_zpid/,Single Family,1923,Other,Other,0 spaces,0.7,NA
"2723 Circle Dr, Durham, NC 27705",640000,4,4,2990,https://www.zillow.com/homedetails/2723-Circle-Dr-Durham-NC-27705/49978174_zpid/,Single Family,1954,"Forced air, Gas",Other,Covered,0.46,NA
"2535 Wrightwood Ave, Durham, NC 27705",552500,5,3,3640,https://www.zillow.com/homedetails/2535-Wrightwood-Ave-Durham-NC-27705/49972136_zpid/,Single Family,1958,"Other, Electric, Gas",Other,Garage - Attached,0.54,NA
"2401 Perkins Rd, Durham, NC 27705",550000,3,3,2109,https://www.zillow.com/homedetails/2401-Perkins-Rd-Durham-NC-27705/49972149_zpid/,Single Family,1953,"Forced air, Gas",Central,"Garage - Attached, Covered",0.61,NA
"1103 Anderson St, Durham, NC 27705",525000,3,3,2256,https://www.zillow.com/homedetails/1103-Anderson-St-Durham-NC-27705/125830543_zpid/,Single Family,2016,"Heat pump, Gas",Other,Covered,0.24,NA
"2521 Perkins Rd, Durham, NC 27705",750000,5,5,3250,https://www.zillow.com/homedetails/2521-Perkins-Rd-Durham-NC-27705/49972123_zpid/,Single Family,1951,"Forced air, Heat pump, Electric",Other,0 spaces,0.7899999999999999,NA
"1817 Woodburn Rd, Durham, NC 27705",1020000,4,4,3924,https://www.zillow.com/homedetails/1817-Woodburn-Rd-Durham-NC-27705/49981876_zpid/,Single Family,1969,"Forced air, Gas",Other,Garage - Attached,0.9500000000000001,NA
"19 Heath Pl, Durham, NC 27705",610000,4,4,3255,https://www.zillow.com/homedetails/19-Heath-Pl-Durham-NC-27705/49981879_zpid/,Single Family,1969,"Baseboard, Heat pump, Gas",Central,Garage - Attached,0.76,NA
"2733 Spencer St, Durham, NC 27705",360000,4,3,1992,https://www.zillow.com/homedetails/2733-Spencer-St-Durham-NC-27705/49969291_zpid/,Single Family,1970,"Forced air, Gas",Central,"Garage, Garage - Detached, Off-street, On-street, Covered",0.6,NA
"2301 Elmwood Ave, Durham, NC 27707",400000,4,3,4769,https://www.zillow.com/homedetails/2301-Elmwood-Ave-Durham-NC-27707/49972115_zpid/,Single Family,1962,"Forced air, Gas",Other,Garage - Attached,0.36,NA
"12 Upchurch Cir, Durham, NC 27705",567000,4,4,3931,https://www.zillow.com/homedetails/12-Upchurch-Cir-Durham-NC-27705/49981832_zpid/,Single Family,1982,"Forced air, Gas",Other,0 spaces,0.39,NA
"1109 Woodburn Rd, Durham, NC 27705",485000,4,3,2609,https://www.zillow.com/homedetails/1109-Woodburn-Rd-Durham-NC-27705/49978170_zpid/,Single Family,1962,"Forced air, Gas",No Data,0 spaces,0.52,NA
"2749 Mcdowell Rd, Durham, NC 27705",517000,4,3,2651,https://www.zillow.com/homedetails/2749-Mcdowell-Rd-Durham-NC-27705/49967358_zpid/,Single Family,1965,"Forced air, Gas",Other,0 spaces,0.73,NA
"2628 Mcdowell Rd, Durham, NC 27705",540000,4,3,4520,https://www.zillow.com/homedetails/2628-Mcdowell-Rd-Durham-NC-27705/49967287_zpid/,Single Family,1970,Other,Other,0 spaces,0.48000000000000004,NA
"2819 Montgomery St, Durham, NC 27705",480000,2,2,2203,https://www.zillow.com/homedetails/2819-Montgomery-St-Durham-NC-27705/49981773_zpid/,Single Family,1984,"Heat pump, Electric, Gas",Other,"Carport, Covered",0.42000000000000004,NA
"2604 Sevier St, Durham, NC 27705",650000,4,3,3460,https://www.zillow.com/homedetails/2604-Sevier-St-Durham-NC-27705/49967317_zpid/,Single Family,1963,"Forced air, Gas",Other,"Carport, Covered",0.6799999999999999,NA
"2808 Montgomery St, Durham, NC 27705",535000,4,4,2081,https://www.zillow.com/homedetails/2808-Montgomery-St-Durham-NC-27705/49981852_zpid/,Single Family,1983,"Forced air, Electric, Gas","Central, Other","Garage, Garage - Detached, Off-street, Covered",0.45,NA
"1640 Marion Ave, Durham, NC 27705",460000,5,4,3264,https://www.zillow.com/homedetails/1640-Marion-Ave-Durham-NC-27705/49967313_zpid/,Single Family,1961,"Forced air, Gas",Refrigerator,0 spaces,0.5,NA
"4 Harvey Pl, Durham, NC 27705",590000,5,3,3323,https://www.zillow.com/homedetails/4-Harvey-Pl-Durham-NC-27705/49981825_zpid/,Single Family,1980,"Forced air, Gas",Other,0 spaces,0.43000000000000005,NA
"2507 Sevier St, Durham, NC 27705",541000,4,4,2740,https://www.zillow.com/homedetails/2507-Sevier-St-Durham-NC-27705/49967275_zpid/,Single Family,1960,"Forced air, Heat pump, Gas",Central,"Carport, Covered",0.51,NA
"1207 Woodburn Rd, Durham, NC 27705",473000,3,3,2171,https://www.zillow.com/homedetails/1207-Woodburn-Rd-Durham-NC-27705/49978194_zpid/,Single Family,1955,"Forced air, Electric, Gas",Other,0 spaces,0.61,NA
"3008 Montgomery St, Durham, NC 27705",490000,4,4,2972,https://www.zillow.com/homedetails/3008-Montgomery-St-Durham-NC-27705/49981791_zpid/,Single Family,1984,"Forced air, Electric, Gas",Central,"Garage - Attached, Off-street, Covered",0.65,NA
"1614 Pinecrest Rd, Durham, NC 27705",815000,4,4,3904,https://www.zillow.com/homedetails/1614-Pinecrest-Rd-Durham-NC-27705/49969282_zpid/,Single Family,1970,"Forced air, Gas",Other,"Garage - Attached, Garage - Detached, Covered",1.47,NA
"2708 Circle Dr, Durham, NC 27705",674500,4,4,3766,https://www.zillow.com/homedetails/2708-Circle-Dr-Durham-NC-27705/49978192_zpid/,Single Family,1955,"Forced air, Electric, Gas",Other,0 spaces,0.73,NA
