location,state,driver_race,stops_per_year,stop_rate,search_rate,consent_search_rate,arrest_rate,citation_rate_speeding_stops,hit_rate,inferred_threshold
BACA COUNTY,CO,Hispanic,254,1.054,0.0,0.0,0.022,0.645,NA,NA
BACA COUNTY,CO,White,986,0.369,0.001,0.0,0.015,0.478,0.714,0.54
BENT COUNTY,CO,Black,31,0.077,0.0,0.0,0.027,0.391,NA,NA
BENT COUNTY,CO,Hispanic,255,0.169,0.002,0.001,0.031,0.54,1.0,0.382
BENT COUNTY,CO,White,876,0.294,0.0,0.0,0.017,0.416,1.0,0.577
BOULDER COUNTY,CO,Black,200,0.09,0.002,0.002,0.022,0.356,0.0,0.404
BOULDER COUNTY,CO,Hispanic,1114,0.039,0.004,0.002,0.032,0.326,0.32,0.318
BOULDER COUNTY,CO,White,9658,0.047,0.002,0.0,0.015,0.336,0.536,0.477
BROOMFIELD COUNTY,CO,Black,11,0.02,0.0,0.0,0.0,0.0,NA,NA
BROOMFIELD COUNTY,CO,Hispanic,57,0.011,0.0,0.0,0.02,0.2,NA,NA
BROOMFIELD COUNTY,CO,White,424,0.011,0.003,0.0,0.014,0.355,0.5,0.521
CHAFFEE COUNTY,CO,Black,51,0.188,0.004,0.0,0.016,0.339,0.0,0.387
CHAFFEE COUNTY,CO,Hispanic,323,0.213,0.007,0.004,0.021,0.296,0.364,0.321
CHAFFEE COUNTY,CO,White,5132,0.378,0.002,0.001,0.013,0.287,0.643,0.546
CHEYENNE COUNTY,CO,Black,19,2.375,0.0,0.0,0.0,0.605,NA,NA
CHEYENNE COUNTY,CO,Hispanic,82,0.547,0.002,0.0,0.075,0.691,1.0,0.388
CHEYENNE COUNTY,CO,White,397,0.315,0.0,0.0,0.011,0.544,NA,NA
CLEAR CREEK COUNTY,CO,Black,175,3.241,0.002,0.001,0.035,0.521,1.0,0.52
CLEAR CREEK COUNTY,CO,Hispanic,566,1.45,0.017,0.008,0.068,0.533,0.255,0.265
CLEAR CREEK COUNTY,CO,White,5931,0.824,0.005,0.002,0.023,0.503,0.825,0.584
CONEJOS COUNTY,CO,Black,18,1.385,0.0,0.0,0.0,0.462,NA,NA
CONEJOS COUNTY,CO,Hispanic,962,0.278,0.005,0.002,0.04,0.276,0.615,0.398
CONEJOS COUNTY,CO,White,1228,0.464,0.003,0.001,0.022,0.304,0.75,0.564
COSTILLA COUNTY,CO,Black,39,3.25,0.015,0.01,0.012,0.61,0.0,0.333
COSTILLA COUNTY,CO,Hispanic,639,0.345,0.004,0.001,0.045,0.557,0.846,0.424
COSTILLA COUNTY,CO,White,1432,1.405,0.002,0.001,0.01,0.552,0.688,0.564
CROWLEY COUNTY,CO,Black,9,0.017,0.0,0.0,0.042,0.538,NA,NA
CROWLEY COUNTY,CO,Hispanic,106,0.074,0.0,0.0,0.04,0.514,NA,NA
CROWLEY COUNTY,CO,White,430,0.157,0.001,0.0,0.021,0.508,0.5,0.547
CUSTER COUNTY,CO,Black,2,0.051,0.0,0.0,0.0,0.0,NA,NA
CUSTER COUNTY,CO,Hispanic,6,0.031,0.0,0.0,0.0,0.333,NA,NA
CUSTER COUNTY,CO,White,87,0.025,0.0,0.0,0.0,0.271,NA,NA
DELTA COUNTY,CO,Black,40,0.265,0.005,0.0,0.03,0.651,0.0,0.384
DELTA COUNTY,CO,Hispanic,614,0.199,0.004,0.002,0.038,0.534,0.667,0.402
DELTA COUNTY,CO,White,4976,0.239,0.003,0.001,0.026,0.532,0.592,0.5
DENVER COUNTY,CO,Black,54,0.001,0.0,0.0,0.155,0.0,NA,NA
DENVER COUNTY,CO,Hispanic,146,0.001,0.015,0.001,0.093,0.0,0.909,0.347
DENVER COUNTY,CO,White,320,0.001,0.002,0.0,0.154,0.031,0.75,0.579
DOLORES COUNTY,CO,Black,8,2.0,0.0,0.0,0.0,0.0,NA,NA
DOLORES COUNTY,CO,Hispanic,42,0.656,0.005,0.005,0.017,0.304,1.0,0.361
DOLORES COUNTY,CO,White,432,0.291,0.001,0.0,0.005,0.137,1.0,0.566
DOUGLAS COUNTY,CO,Black,537,0.189,0.005,0.002,0.035,0.724,0.643,0.37
DOUGLAS COUNTY,CO,Hispanic,1087,0.064,0.002,0.001,0.032,0.748,0.7,0.418
DOUGLAS COUNTY,CO,White,9401,0.048,0.001,0.0,0.017,0.711,0.604,0.555
EAGLE COUNTY,CO,Black,282,0.976,0.013,0.007,0.012,0.503,0.333,0.348
EAGLE COUNTY,CO,Hispanic,1983,0.183,0.005,0.002,0.041,0.449,0.667,0.436
EAGLE COUNTY,CO,White,8863,0.3,0.004,0.001,0.019,0.494,0.693,0.551
ELBERT COUNTY,CO,Black,104,0.794,0.008,0.004,0.016,0.638,0.75,0.405
ELBERT COUNTY,CO,Hispanic,143,0.138,0.007,0.004,0.04,0.705,0.8,0.378
ELBERT COUNTY,CO,White,1423,0.081,0.003,0.001,0.011,0.515,0.739,0.555
EL PASO COUNTY,CO,Black,2387,0.079,0.005,0.001,0.054,0.552,0.722,0.455
EL PASO COUNTY,CO,Hispanic,2367,0.034,0.005,0.002,0.055,0.498,0.594,0.382
EL PASO COUNTY,CO,White,21873,0.058,0.002,0.0,0.028,0.62,0.703,0.574
FREMONT COUNTY,CO,Black,94,0.053,0.0,0.0,0.024,0.242,NA,NA
FREMONT COUNTY,CO,Hispanic,342,0.068,0.001,0.0,0.015,0.351,1.0,0.468
FREMONT COUNTY,CO,White,4352,0.137,0.002,0.0,0.017,0.321,0.718,0.538
GARFIELD COUNTY,CO,Black,164,0.732,0.022,0.009,0.02,0.452,0.333,0.282
GARFIELD COUNTY,CO,Hispanic,1960,0.188,0.004,0.003,0.038,0.441,0.59,0.432
GARFIELD COUNTY,CO,White,7599,0.238,0.003,0.001,0.017,0.422,0.664,0.547
GILPIN COUNTY,CO,Black,76,2.0,0.01,0.003,0.048,0.125,0.25,0.358
GILPIN COUNTY,CO,Hispanic,278,1.069,0.008,0.001,0.089,0.265,0.545,0.346
GILPIN COUNTY,CO,White,1212,0.283,0.004,0.0,0.036,0.221,0.458,0.488
GRAND COUNTY,CO,Black,46,0.885,0.0,0.0,0.021,0.559,NA,NA
GRAND COUNTY,CO,Hispanic,230,0.304,0.004,0.001,0.035,0.452,0.6,0.359
GRAND COUNTY,CO,White,3873,0.355,0.002,0.0,0.012,0.421,0.528,0.511
GUNNISON COUNTY,CO,Black,33,0.516,0.006,0.0,0.048,0.423,1.0,0.383
GUNNISON COUNTY,CO,Hispanic,168,0.173,0.005,0.004,0.029,0.339,0.0,0.344
GUNNISON COUNTY,CO,White,3847,0.331,0.002,0.001,0.009,0.331,0.629,0.533
HINSDALE COUNTY,CO,Black,0,0.0,NA,NA,NA,NA,NA,NA
HINSDALE COUNTY,CO,Hispanic,0,0.0,NA,NA,NA,NA,NA,NA
HINSDALE COUNTY,CO,White,20,0.032,0.0,0.0,0.051,0.133,NA,NA
HUERFANO COUNTY,CO,Black,143,4.931,0.013,0.006,0.022,0.554,0.556,0.363
HUERFANO COUNTY,CO,Hispanic,1071,0.604,0.007,0.004,0.034,0.551,0.447,0.37
HUERFANO COUNTY,CO,White,2802,0.777,0.004,0.001,0.015,0.507,0.656,0.512
JACKSON COUNTY,CO,Black,6,NA,0.0,0.0,0.0,0.2,NA,NA
JACKSON COUNTY,CO,Hispanic,32,0.283,0.0,0.0,0.0,0.241,NA,NA
JACKSON COUNTY,CO,White,405,0.397,0.001,0.0,0.006,0.417,0.5,0.546
JEFFERSON COUNTY,CO,Black,652,0.147,0.007,0.001,0.037,0.375,0.304,0.379
